'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
20141,'シアナジン・DCBN・DCMU粒剤','マスタリー粒剤','保土谷アグロテック株式会社','シアナジン','シアナジン','1.0%',3,'除草剤','粒剤','1999/1/14'
20141,'シアナジン・DCBN・DCMU粒剤','マスタリー粒剤','保土谷アグロテック株式会社','DCBN','DCBN','1.5%',3,'除草剤','粒剤','1999/1/14'
20141,'シアナジン・DCBN・DCMU粒剤','マスタリー粒剤','保土谷アグロテック株式会社','DCMU','DCMU','3.0%',3,'除草剤','粒剤','1999/1/14'
20145,'プロピネブ水和剤','アントラコール顆粒水和剤','バイエルクロップサイエンス株式会社','プロピネブ','プロピネブ','70.0%',1,'殺菌剤','水和剤','1999/1/14'
20152,'塩化カルシウム・硫酸カルシウム水溶剤','セルバイン','白石カルシウム株式会社','塩化カルシウム','塩化カルシウム','27.0%',2,'植物成長調整剤','水溶剤','1999/2/8'
20152,'塩化カルシウム・硫酸カルシウム水溶剤','セルバイン','白石カルシウム株式会社','硫酸カルシウム','硫酸カルシウム','57.0%',2,'植物成長調整剤','水溶剤','1999/2/8'
20153,'ハロスルフロンメチル水和剤','インプールDF','日産化学株式会社','ハロスルフロンメチル','ハロスルフロンメチル','75.0%',1,'除草剤','水和剤','1999/2/8'
20154,'ピリブチカルブ粒剤','エイゲン粒剤','日本曹達株式会社','ピリブチカルブ','ピリブチカルブ','3.5%',1,'除草剤','粒剤','1999/2/8'
20156,'シクロスルファムロン・ペントキサゾン粒剤','ユートピア1キロ粒剤','OATアグリオ株式会社','シクロスルファムロン','シクロスルファムロン','0.60%',2,'除草剤','粒剤','1999/2/24'
20156,'シクロスルファムロン・ペントキサゾン粒剤','ユートピア1キロ粒剤','OATアグリオ株式会社','ペントキサゾン','ペントキサゾン','4.5%',2,'除草剤','粒剤','1999/2/24'
20158,'シモキサニル・TPN水和剤','日農ブリザード水和剤','日本農薬株式会社','シモキサニル','シモキサニル','24.0%',2,'殺菌剤','水和剤','1999/2/24'
20158,'シモキサニル・TPN水和剤','日農ブリザード水和剤','日本農薬株式会社','TPN','TPN','60.0%',2,'殺菌剤','水和剤','1999/2/24'
20160,'イミダクロプリド粉末','ガウチョVM','バイエルクロップサイエンス株式会社','イミダクロプリド','イミダクロプリド','70.0%',1,'殺虫剤','粉末','1999/3/3'
20161,'グリホサートイソプロピルアミン塩液剤','ターンアウト液剤','ニューファム株式会社','グリホサートイソプロピルアミン塩','グリホサート','41.0%',1,'除草剤','液剤','1999/3/3'
20167,'ブロマシル粒剤','ウィードコロン粒剤','丸和バイオケミカル株式会社','ブロマシル','ブロマシル','3.0%',1,'除草剤','粒剤','1999/3/26'
20169,'TPN水和剤','ダコニールエース','株式会社エス・ディー・エス バイオテック','TPN','TPN','53.0%',1,'殺菌剤','水和剤','1999/3/26'
20174,'スピノサド水和剤','スピノエースフロアブル','コルテバ・アグリサイエンス日本株式会社','スピノサド','スピノサド','20.0%',1,'殺虫剤','水和剤','1999/4/19'
20178,'スピノサド水和剤','スピノエース顆粒水和剤','コルテバ・アグリサイエンス日本株式会社','スピノサド','スピノサド','25.0%',1,'殺虫剤','水和剤','1999/4/19'
20179,'スピノサド水和剤','日産スピノエース顆粒水和剤','日産化学株式会社','スピノサド','スピノサド','25.0%',1,'殺虫剤','水和剤','1999/4/19'
20180,'スピノサド水和剤','クミアイスピノエース顆粒水和剤','クミアイ化学工業株式会社','スピノサド','スピノサド','25.0%',1,'殺虫剤','水和剤','1999/4/19'
20184,'ピラフルフェンエチル水和剤','エコパートフロアブル','日本農薬株式会社','ピラフルフェンエチル','ピラフルフェンエチル','2.0%',1,'除草剤','水和剤','1999/4/19'
20187,'アセキノシル水和剤','カネマイトフロアブル','アグロ カネショウ株式会社','アセキノシル','アセキノシル','15.0%',1,'殺虫剤','水和剤','1999/4/19'
20190,'BT水和剤','クオークフロアブル','住友化学株式会社','BT(生菌)','BT','10.0%',1,'殺虫剤','水和剤','1999/5/11'
20198,'トリフルラリン・ペンディメタリン粉粒剤','DASコンボラル','日産化学株式会社','トリフルラリン','トリフルラリン','1.2%',2,'除草剤','粉粒剤','1999/6/29'
20198,'トリフルラリン・ペンディメタリン粉粒剤','DASコンボラル','日産化学株式会社','ペンディメタリン','ペンディメタリン','1.2%',2,'除草剤','粉粒剤','1999/6/29'
20199,'ジフルフェニカン・トリフルラリン乳剤','DASガレース乳剤','日産化学株式会社','ジフルフェニカン','ジフルフェニカン','3.7%',2,'除草剤','乳剤','1999/6/29'
20199,'ジフルフェニカン・トリフルラリン乳剤','DASガレース乳剤','日産化学株式会社','トリフルラリン','トリフルラリン','37.0%',2,'除草剤','乳剤','1999/6/29'
20204,'ジフルフェニカン・トリフルラリン粉粒剤','DASガレースG','日産化学株式会社','ジフルフェニカン','ジフルフェニカン','0.15%',2,'除草剤','粉粒剤','1999/6/29'
20204,'ジフルフェニカン・トリフルラリン粉粒剤','DASガレースG','日産化学株式会社','トリフルラリン','トリフルラリン','2.0%',2,'除草剤','粉粒剤','1999/6/29'
20207,'クロルピクリンくん蒸剤','クロピクテープ','三井化学クロップ&ライフソリューション株式会社','クロルピクリン','クロルピクリン','55.0%',1,'殺虫剤','くん蒸剤','1999/7/23'
20210,'TPN水和剤','ダコニールターフ','株式会社エス・ディー・エス バイオテック','TPN','TPN','53.0%',1,'殺菌剤','水和剤','1999/8/20'
20211,'フェンヘキサミド水和剤','パスワード顆粒水和剤','バイエルクロップサイエンス株式会社','フェンヘキサミド','フェンヘキサミド','50.0%',1,'殺菌剤','水和剤','1999/8/24'
20212,'ハロスルフロンメチル水和剤','シャドー水和剤','日産化学株式会社','ハロスルフロンメチル','ハロスルフロンメチル','5.0%',1,'除草剤','水和剤','1999/8/24'
20231,'テトラコナゾール液剤','サルバトーレME','アリスタ ライフサイエンス株式会社','テトラコナゾール','テトラコナゾール','11.6%',1,'殺菌剤','液剤','1999/8/24'
20234,'フィプロニル・イソプロチオラン・ピロキロン粒剤','ピカピカ粒剤','日本農薬株式会社','フィプロニル','フィプロニル','1.0%',3,'殺虫殺菌剤','粒剤','1999/8/27'
20234,'フィプロニル・イソプロチオラン・ピロキロン粒剤','ピカピカ粒剤','日本農薬株式会社','イソプロチオラン','イソプロチオラン','8.0%',3,'殺虫殺菌剤','粒剤','1999/8/27'
20234,'フィプロニル・イソプロチオラン・ピロキロン粒剤','ピカピカ粒剤','日本農薬株式会社','ピロキロン','ピロキロン','2.0%',3,'殺虫殺菌剤','粒剤','1999/8/27'
20237,'イミノクタジンアルベシル酸塩・キャプタン水和剤','ダイパワー水和剤','日本曹達株式会社','イミノクタジンアルベシル酸塩','イミノクタジン','20.0%',2,'殺菌剤','水和剤','1999/9/10'
20237,'イミノクタジンアルベシル酸塩・キャプタン水和剤','ダイパワー水和剤','日本曹達株式会社','キャプタン','キャプタン','45.0%',2,'殺菌剤','水和剤','1999/9/10'
20238,'エマメクチン安息香酸塩液剤','ショットワン・ツー液剤','シンジェンタ ジャパン株式会社','エマメクチン安息香酸塩','エマメクチン安息香酸塩','2.0%',1,'殺虫剤','液剤','1999/9/27'
20262,'銅水和剤','ドイツボルドーDF','北興化学工業株式会社','塩基性塩化銅','銅','67.3%',1,'殺菌剤','水和剤','1999/10/28'
20265,'ホスチアゼート粒剤','石原ネマトリンエース粒剤','石原産業株式会社','ホスチアゼート','ホスチアゼート','1.5%',1,'殺虫剤','粒剤','1999/11/25'
20279,'フラメトピル粒剤','リンバー箱粒剤','住友化学株式会社','フラメトピル','フラメトピル','4.0%',1,'殺菌剤','粒剤','1999/12/10'
20281,'フィプロニル・フラメトピル粒剤','プリンスリンバー箱粒剤','住友化学株式会社','フィプロニル','フィプロニル','1.0%',2,'殺虫殺菌剤','粒剤','1999/12/10'
20281,'フィプロニル・フラメトピル粒剤','プリンスリンバー箱粒剤','住友化学株式会社','フラメトピル','フラメトピル','4.0%',2,'殺虫殺菌剤','粒剤','1999/12/10'
20285,'テブコナゾール水和剤','シルバキュアフロアブル','バイエルクロップサイエンス株式会社','テブコナゾール','テブコナゾール','40.0%',1,'殺菌剤','水和剤','1999/12/10'
20292,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート水和剤','ウリホスフロアブル','ホクサン株式会社','ジメタメトリン','ジメタメトリン','0.60%',4,'除草剤','水和剤','1999/12/10'
20292,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート水和剤','ウリホスフロアブル','ホクサン株式会社','ピラゾレート','ピラゾレート','18.0%',4,'除草剤','水和剤','1999/12/10'
20292,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート水和剤','ウリホスフロアブル','ホクサン株式会社','プレチラクロール','プレチラクロール','3.0%',4,'除草剤','水和剤','1999/12/10'
20292,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート水和剤','ウリホスフロアブル','ホクサン株式会社','ベンフレセート','ベンフレセート','3.0%',4,'除草剤','水和剤','1999/12/10'
20304,'ダイアジノン粒剤','ダイアジノン粒剤10','日本化薬株式会社','ダイアジノン','ダイアジノン','10.0%',1,'殺虫剤','粒剤','1999/12/27'
20309,'クロマフェノジド水和剤','マトリックフロアブル','日本化薬株式会社','クロマフェノジド','クロマフェノジド','5.0%',1,'殺虫剤','水和剤','1999/12/27'
20315,'フロラスラム水和剤','ブロードスマッシュSC','コルテバ・アグリサイエンス日本株式会社','フロラスラム','フロラスラム','4.5%',1,'除草剤','水和剤','2000/1/13'
20316,'脂肪酸グリセリド乳剤','サンクリスタル乳剤','サンケイ化学株式会社','脂肪酸グリセリド(虫)','脂肪酸グリセリド','90.0%',1,'殺虫剤','乳剤','2000/1/13'
20317,'ベンフラカルブ粒剤','グランドオンコル粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','8.0%',1,'殺虫剤','粒剤','2000/1/13'
20321,'4-CPA液剤','日産トマトトーンスプレー','日産化学株式会社','4-CPA','4-CPA','0.0015%',1,'植物成長調整剤','液剤','2000/1/13'
20330,'アセタミプリド液剤','マツグリーン液剤','日本曹達株式会社','アセタミプリド','アセタミプリド','20.0%',1,'殺虫剤','液剤','2000/2/8'
20333,'グリホサートイソプロピルアミン塩液剤','草ノコラーズ','ニューファム株式会社','グリホサートイソプロピルアミン塩','グリホサート','41.0%',1,'除草剤','液剤','2000/3/2'
20339,'トリアジフラム・ハロスルフロンメチル水和剤','セットアップDF','日産化学株式会社','トリアジフラム','トリアジフラム','30.0%',2,'除草剤','水和剤','2000/4/12'
20339,'トリアジフラム・ハロスルフロンメチル水和剤','セットアップDF','日産化学株式会社','ハロスルフロンメチル','ハロスルフロンメチル','30.0%',2,'除草剤','水和剤','2000/4/12'
20341,'イマゾスルフロン水和剤','シバタイト40','住友化学株式会社','イマゾスルフロン','イマゾスルフロン','40.0%',1,'除草剤','水和剤','2000/4/12'
20342,'イミダクロプリド水和剤','アドマイヤー顆粒水和剤','バイエルクロップサイエンス株式会社','イミダクロプリド','イミダクロプリド','50.0%',1,'殺虫剤','水和剤','2000/4/20'
20343,'イミダクロプリド水和剤','クミアイアドマイヤー顆粒水和剤','クミアイ化学工業株式会社','イミダクロプリド','イミダクロプリド','50.0%',1,'殺虫剤','水和剤','2000/4/20'
20344,'シアナミド液剤','CX-10','日本カーバイド工業株式会社','シアナミド','シアナミド','10.0%',1,'植物成長調整剤','液剤','2000/4/20'
20345,'ダイアジノン・ベンフラカルブ粒剤','オンダイアエース粒剤','OATアグリオ株式会社','ダイアジノン','ダイアジノン','5.0%',2,'殺虫剤','粒剤','2000/4/21'
20345,'ダイアジノン・ベンフラカルブ粒剤','オンダイアエース粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','3.0%',2,'殺虫剤','粒剤','2000/4/21'
20353,'シモキサニル・ファモキサドン水和剤','ホライズンドライフロアブル','コルテバ・アグリサイエンス日本株式会社','シモキサニル','シモキサニル','30.0%',2,'殺菌剤','水和剤','2000/4/28'
20353,'シモキサニル・ファモキサドン水和剤','ホライズンドライフロアブル','コルテバ・アグリサイエンス日本株式会社','ファモキサドン','ファモキサドン','22.5%',2,'殺菌剤','水和剤','2000/4/28'
20354,'シモキサニル・ファモキサドン水和剤','日産ホライズンドライフロアブル','日産化学株式会社','シモキサニル','シモキサニル','30.0%',2,'殺菌剤','水和剤','2000/4/28'
20354,'シモキサニル・ファモキサドン水和剤','日産ホライズンドライフロアブル','日産化学株式会社','ファモキサドン','ファモキサドン','22.5%',2,'殺菌剤','水和剤','2000/4/28'
20355,'テプラロキシジム乳剤','ホーネスト乳剤','日本曹達株式会社','テプラロキシジム','テプラロキシジム','10.0%',1,'除草剤','乳剤','2000/4/28'
20358,'オキスポコナゾールフマル酸塩水和剤','オーシャイン水和剤','OATアグリオ株式会社','オキスポコナゾールフマル酸塩','オキスポコナゾールフマル酸塩','20.0%',1,'殺菌剤','水和剤','2000/4/28'
20389,'グリホサートイソプロピルアミン塩液剤','マルガリーダ','住商アグロインターナショナル株式会社','グリホサートイソプロピルアミン塩','グリホサート','41.0%',1,'除草剤','液剤','2000/5/15'
20393,'エトキシスルフロン水和剤','グラッチェ顆粒水和剤','バイエルクロップサイエンス株式会社','エトキシスルフロン','エトキシスルフロン','60.0%',1,'除草剤','水和剤','2000/6/29'
20396,'ジチオピル水和剤','バイザー水和剤','コルテバ・アグリサイエンス日本株式会社','ジチオピル','ジチオピル','40.0%',1,'除草剤','水和剤','2000/6/29'
20403,'ミルベメクチン乳剤','マツガード','三井化学クロップ&ライフソリューション株式会社','ミルベメクチン','ミルベメクチン','2.0%',1,'殺虫剤','乳剤','2000/7/27'
20406,'シペルメトリン水和剤','ゲットアウトWDG','住友化学株式会社','シペルメトリン','シペルメトリン','9.0%',1,'殺虫剤','水和剤','2000/8/15'
20407,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','クラッシュEXジャンボ','住友化学株式会社','イマゾスルフロン','イマゾスルフロン','1.8%',3,'除草剤','粒剤','2000/8/15'
20407,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','クラッシュEXジャンボ','住友化学株式会社','カフェンストロール','カフェンストロール','4.2%',3,'除草剤','粒剤','2000/8/15'
20407,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','クラッシュEXジャンボ','住友化学株式会社','ダイムロン','ダイムロン','20.0%',3,'除草剤','粒剤','2000/8/15'
20409,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','SDSクラッシュEXジャンボ','株式会社エス・ディー・エス バイオテック','イマゾスルフロン','イマゾスルフロン','1.8%',3,'除草剤','粒剤','2000/8/15'
20409,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','SDSクラッシュEXジャンボ','株式会社エス・ディー・エス バイオテック','カフェンストロール','カフェンストロール','4.2%',3,'除草剤','粒剤','2000/8/15'
20409,'イマゾスルフロン・カフェンストロール・ダイムロン粒剤','SDSクラッシュEXジャンボ','株式会社エス・ディー・エス バイオテック','ダイムロン','ダイムロン','20.0%',3,'除草剤','粒剤','2000/8/15'
20411,'オキサジクロメホン水和剤','フルハウスフロアブル','バイエルクロップサイエンス株式会社','オキサジクロメホン','オキサジクロメホン','30.0%',1,'除草剤','水和剤','2000/8/15'
20423,'インダノファン・クロメプロップ・ベンスルフロンメチル粒剤','日農マサカリLジャンボ','日本農薬株式会社','インダノファン','インダノファン','2.8%',3,'除草剤','粒剤','2000/8/15'
20423,'インダノファン・クロメプロップ・ベンスルフロンメチル粒剤','日農マサカリLジャンボ','日本農薬株式会社','クロメプロップ','クロメプロップ','7.0%',3,'除草剤','粒剤','2000/8/15'
20423,'インダノファン・クロメプロップ・ベンスルフロンメチル粒剤','日農マサカリLジャンボ','日本農薬株式会社','ベンスルフロンメチル','ベンスルフロンメチル','1.0%',3,'除草剤','粒剤','2000/8/15'
20448,'ビフェナゼート水和剤','マイトコーネフロアブル','日産化学株式会社','ビフェナゼート','ビフェナゼート','20.0%',1,'殺虫剤','水和剤','2000/8/17'
20449,'フェンヘキサミド・フルジオキソニル水和剤','バイエルジャストミート顆粒水和剤','バイエルクロップサイエンス株式会社','フェンヘキサミド','フェンヘキサミド','50.0%',2,'殺菌剤','水和剤','2000/8/17'
20449,'フェンヘキサミド・フルジオキソニル水和剤','バイエルジャストミート顆粒水和剤','バイエルクロップサイエンス株式会社','フルジオキソニル','フルジオキソニル','20.0%',2,'殺菌剤','水和剤','2000/8/17'
20473,'アゾキシストロビン水和剤','JAアミスターエイト','全国農業協同組合連合会','アゾキシストロビン','アゾキシストロビン','8.0%',1,'殺菌剤','水和剤','2000/9/7'
20479,'BT水和剤','チューンアップ顆粒水和剤','株式会社エス・ディー・エス バイオテック','BT(生菌)','BT','10.0%',1,'殺虫剤','水和剤','2000/10/30'
20481,'展着剤','ハイテンパワー','北興化学工業株式会社','ポリオキシアルキレン脂肪酸エステル',NULL,'30.0%',1,'その他','その他','2000/11/10'
20491,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンフロアブル','株式会社理研グリーン','ピリミノバックメチル','ピリミノバックメチル','0.83%',4,'除草剤','水和剤','2000/12/4'
20491,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンフロアブル','株式会社理研グリーン','ブロモブチド','ブロモブチド','17.0%',4,'除草剤','水和剤','2000/12/4'
20491,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンフロアブル','株式会社理研グリーン','ベンスルフロンメチル','ベンスルフロンメチル','1.3%',4,'除草剤','水和剤','2000/12/4'
20491,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンフロアブル','株式会社理研グリーン','ペントキサゾン','ペントキサゾン','2.8%',4,'除草剤','水和剤','2000/12/4'
20493,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンLフロアブル','クミアイ化学工業株式会社','ピリミノバックメチル','ピリミノバックメチル','0.56%',4,'除草剤','水和剤','2000/12/4'
20493,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンLフロアブル','クミアイ化学工業株式会社','ブロモブチド','ブロモブチド','17.0%',4,'除草剤','水和剤','2000/12/4'
20493,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンLフロアブル','クミアイ化学工業株式会社','ベンスルフロンメチル','ベンスルフロンメチル','0.93%',4,'除草剤','水和剤','2000/12/4'
20493,'ピリミノバックメチル・ブロモブチド・ベンスルフロンメチル・ペントキサゾン水和剤','トップガンLフロアブル','クミアイ化学工業株式会社','ペントキサゾン','ペントキサゾン','2.8%',4,'除草剤','水和剤','2000/12/4'
20499,'ピリミノバックメチル粒剤','ヒエクリーン1キロ粒剤','クミアイ化学工業株式会社','ピリミノバックメチル','ピリミノバックメチル','1.2%',1,'除草剤','粒剤','2000/12/4'
20533,'カズサホスマイクロカプセル剤','ラグビーMC粒剤','エフエムシー・ケミカルズ株式会社','カズサホス','カズサホス','3.0%',1,'殺虫剤','マイクロカプセル剤','2000/12/21'
20558,'プロメトリン・IPC乳剤','ビンサイド乳剤','ホクサン株式会社','プロメトリン','プロメトリン','15.0%',2,'除草剤','乳剤','2000/12/26'
20558,'プロメトリン・IPC乳剤','ビンサイド乳剤','ホクサン株式会社','IPC','IPC','25.0%',2,'除草剤','乳剤','2000/12/26'
20572,'タイリクヒメハナカメムシ剤','オリスターA','住友化学株式会社','タイリクヒメハナカメムシ','タイリクヒメハナカメムシ','250頭/250mL',1,'殺虫剤','その他','2001/1/30'
20573,'オンシツツヤコバチ剤','ツヤトップ','株式会社アグリ総研','オンシツツヤコバチ','オンシツツヤコバチ','50頭/カード',1,'殺虫剤','その他','2001/1/30'
20574,'アゾキシストロビン水和剤','アミスター20フロアブル','シンジェンタ ジャパン株式会社','アゾキシストロビン','アゾキシストロビン','20.0%',1,'殺菌剤','水和剤','2001/1/30'
20577,'アゾキシストロビン水和剤','アミスター10フロアブル','シンジェンタ ジャパン株式会社','アゾキシストロビン','アゾキシストロビン','10.0%',1,'殺菌剤','水和剤','2001/1/30'
20580,'アゾキシストロビン水和剤','アミスターエイト','シンジェンタ ジャパン株式会社','アゾキシストロビン','アゾキシストロビン','8.0%',1,'殺菌剤','水和剤','2001/1/30'
20585,'チフルザミド水和剤','イカルガ35SC','日産化学株式会社','チフルザミド','チフルザミド','35.0%',1,'殺菌剤','水和剤','2001/2/23'
20599,'ヤマトクサカゲロウ剤','カゲタロウ','アグロスター有限会社','ヤマトクサカゲロウ','ヤマトクサカゲロウ','300頭/シート',1,'殺虫剤','その他','2001/3/14'
20603,'ブタクロール・ACN粒剤','アークエース粒剤','アグロ カネショウ株式会社','ブタクロール','ブタクロール','2.5%',2,'除草剤','粒剤','2001/3/26'
20603,'ブタクロール・ACN粒剤','アークエース粒剤','アグロ カネショウ株式会社','ACN','ACN','4.5%',2,'除草剤','粒剤','2001/3/26'
20604,'チウラム水和剤','キヒゲンR-2フロアブル','米澤化学株式会社','チウラム','チウラム','40.0%',1,'その他','水和剤','2001/3/26'
20609,'プロピレングリコールモノ脂肪酸エステル乳剤','アカリタッチ乳剤','OATアグリオ株式会社','プロピレングリコールモノ脂肪酸エステル','プロピレングリコールモノ脂肪酸エステル','70.0%',1,'殺虫剤','乳剤','2001/4/16'
20610,'ペルメトリン・ミクロブタニル乳剤','ベニカX乳剤','KINCHO園芸株式会社','ペルメトリン','ペルメトリン','5.0%',2,'殺虫殺菌剤','乳剤','2001/4/16'
20610,'ペルメトリン・ミクロブタニル乳剤','ベニカX乳剤','KINCHO園芸株式会社','ミクロブタニル','ミクロブタニル','4.0%',2,'殺虫殺菌剤','乳剤','2001/4/16'
20616,'フェンブコナゾール水和剤','インダーフロアブル','コルテバ・アグリサイエンス日本株式会社','フェンブコナゾール','フェンブコナゾール','22.0%',1,'殺菌剤','水和剤','2001/4/26'
20618,'チアクロプリド水和剤','バリアード顆粒水和剤','バイエルクロップサイエンス株式会社','チアクロプリド','チアクロプリド','30.0%',1,'殺虫剤','水和剤','2001/4/26'
20621,'チアクロプリド粒剤','バリアード箱粒剤','バイエルクロップサイエンス株式会社','チアクロプリド','チアクロプリド','1.0%',1,'殺虫剤','粒剤','2001/4/26'
20623,'トリフロキシストロビン水和剤','フリントフロアブル25','バイエルクロップサイエンス株式会社','トリフロキシストロビン','トリフロキシストロビン','25.0%',1,'殺菌剤','水和剤','2001/4/26'
20624,'シアゾファミド水和剤','ランマンフロアブル','石原産業株式会社','シアゾファミド','シアゾファミド','9.4%',1,'殺菌剤','水和剤','2001/4/26'
20625,'ベンゾビシクロン水和剤','ショウエースフロアブル','株式会社エス・ディー・エス バイオテック','ベンゾビシクロン','ベンゾビシクロン','5.7%',1,'除草剤','水和剤','2001/4/26'
20626,'ベンゾビシクロン粒剤','ショウエース1キロ粒剤','株式会社エス・ディー・エス バイオテック','ベンゾビシクロン','ベンゾビシクロン','3.0%',1,'除草剤','粒剤','2001/4/26'
20634,'ベンゾビシクロン・ペントキサゾン粒剤','フォーカスショットジャンボ','株式会社エス・ディー・エス バイオテック','ベンゾビシクロン','ベンゾビシクロン','4.0%',2,'除草剤','粒剤','2001/4/26'
20634,'ベンゾビシクロン・ペントキサゾン粒剤','フォーカスショットジャンボ','株式会社エス・ディー・エス バイオテック','ペントキサゾン','ペントキサゾン','4.0%',2,'除草剤','粒剤','2001/4/26'
20641,'アセタミプリド液剤','モスピランSL液剤','日本曹達株式会社','アセタミプリド','アセタミプリド','18.0%',1,'殺虫剤','液剤','2001/4/27'
20642,'アセタミプリド液剤','日農モスピランSL液剤','日本農薬株式会社','アセタミプリド','アセタミプリド','18.0%',1,'殺虫剤','液剤','2001/4/27'
20643,'ペルメトリン・ミクロブタニル液剤','ベニカXスプレー','KINCHO園芸株式会社','ペルメトリン','ペルメトリン','0.010%',2,'殺虫殺菌剤','液剤','2001/5/31'
20643,'ペルメトリン・ミクロブタニル液剤','ベニカXスプレー','KINCHO園芸株式会社','ミクロブタニル','ミクロブタニル','0.0080%',2,'殺虫殺菌剤','液剤','2001/5/31'
20644,'ペルメトリン・ミクロブタニルエアゾル','ベニカX','KINCHO園芸株式会社','ペルメトリン','ペルメトリン','0.010%',2,'殺虫殺菌剤','エアゾル','2001/5/31'
20644,'ペルメトリン・ミクロブタニルエアゾル','ベニカX','KINCHO園芸株式会社','ミクロブタニル','ミクロブタニル','0.0080%',2,'殺虫殺菌剤','エアゾル','2001/5/31'
20645,'ペキロマイセス フモソロセウス水和剤','プリファード水和剤','三井物産株式会社','ペキロマイセス フモソロセウス','ペキロマイセス フモソロセウス','1×10^9CFU/g',1,'殺虫剤','水和剤','2001/6/11'
20649,'プロベナゾール複合肥料','くみあいオリゼメート入り複合燐加安264','片倉コープアグリ株式会社','プロベナゾール','プロベナゾール','0.60%',1,'農薬肥料','農薬肥料','2001/6/11'
20651,'フラザスルフロン粒剤','シバゲン粒剤0.1','石原産業株式会社','フラザスルフロン','フラザスルフロン','0.10%',1,'除草剤','粒剤','2001/6/11'
20652,'フォールウェブルア剤','ニトルアー<アメシロ>','株式会社エス・ディー・エス バイオテック','(3Z,6Z,9S,10R)-シス-9,10-エポキシ-3,6-ヘニコサジエン',NULL,'0.58mg/枚',1,'その他','その他','2001/6/11'
20652,'フォールウェブルア剤','ニトルアー<アメシロ>','株式会社エス・ディー・エス バイオテック','(3Z,6Z,9S,10R)-シス-9,10-エポキシ-1,3,6-ヘニコサトリエン',NULL,'0.49mg/枚',1,'その他','その他','2001/6/11'
20652,'フォールウェブルア剤','ニトルアー<アメシロ>','株式会社エス・ディー・エス バイオテック','(9Z,12Z,15Z)-9,12,15-オクタデカトリエン-1-アール',NULL,'4.3mg/枚',1,'その他','その他','2001/6/11'
20653,'BT水和剤','フローバックDF','住友化学株式会社','BT(生菌)','BT','10.0%',1,'殺虫剤','水和剤','2001/6/11'
20656,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート粒剤','ウリホスジャンボ','ホクサン株式会社','ジメタメトリン','ジメタメトリン','1.0%',4,'除草剤','粒剤','2001/6/22'
20656,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート粒剤','ウリホスジャンボ','ホクサン株式会社','ピラゾレート','ピラゾレート','30.0%',4,'除草剤','粒剤','2001/6/22'
20656,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート粒剤','ウリホスジャンボ','ホクサン株式会社','プレチラクロール','プレチラクロール','5.0%',4,'除草剤','粒剤','2001/6/22'
20656,'ジメタメトリン・ピラゾレート・プレチラクロール・ベンフレセート粒剤','ウリホスジャンボ','ホクサン株式会社','ベンフレセート','ベンフレセート','5.0%',4,'除草剤','粒剤','2001/6/22'
20657,'タイリクヒメハナカメムシ剤','タイリク','アリスタ ライフサイエンス株式会社','タイリクヒメハナカメムシ','タイリクヒメハナカメムシ','50頭/50mL',1,'殺虫剤','その他','2001/6/22'
20658,'展着剤','サブマージ','シンジェンタ ジャパン株式会社','アルキルベンゼンスルホン酸ナトリウム',NULL,'50.0%',1,'その他','その他','2001/7/12'
20664,'イミダクロプリド水和剤','タフバリアフロアブル','エンバイロサイエンスジャパン株式会社','イミダクロプリド','イミダクロプリド','20.0%',1,'殺虫剤','水和剤','2001/8/16'
20672,'チアメトキサム水溶剤','アクタラ顆粒水溶剤','シンジェンタ ジャパン株式会社','チアメトキサム','チアメトキサム','10.0%',1,'殺虫剤','水溶剤','2001/8/22'
20673,'チアメトキサム粒剤','アクタラ粒剤5','シンジェンタ ジャパン株式会社','チアメトキサム','チアメトキサム','0.50%',1,'殺虫剤','粒剤','2001/8/22'
