'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
5042,'MEP乳剤','日農スミチオン乳剤','日本農薬株式会社','MEP','MEP','50.0%',1,'殺虫剤','乳剤','1962/3/19'
5052,'MEP乳剤','サンケイスミチオン乳剤','サンケイ化学株式会社','MEP','MEP','50.0%',1,'殺虫剤','乳剤','1962/3/19'
5129,'NAC水和剤','日産ミクロデナポン水和剤85','日産化学株式会社','NAC','NAC','85.0%',1,'殺虫剤','水和剤','1962/4/21'
5131,'NAC水和剤','日農ミクロデナポン水和剤85','日本農薬株式会社','NAC','NAC','85.0%',1,'殺虫剤','水和剤','1962/4/21'
5250,'クロルピクリン燻蒸剤','ドロクロール','三井化学クロップ&ライフソリューション株式会社','クロルピクリン','クロルピクリン','80.0%',1,'殺虫剤','くん蒸剤','1962/5/28'
5287,'生石灰','カネジュウ印ボルドー液用粉末生石灰','井上石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1962/6/22'
5288,'生石灰','上州石灰ボルドー液用粉末生石灰','有恒鉱業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1962/6/22'
5289,'生石灰','オキヤマタ印ボルドー液用粉末生石灰','田中石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1962/6/22'
5310,'生石灰','マルコ印ボルドー液用粉末生石灰','古手川産業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1962/7/23'
5312,'生石灰','丸京印ボルドー液用粉末生石灰','株式会社丸京石灰','生石灰','生石灰','95.0%',1,'その他','その他','1962/7/23'
5313,'生石灰','ヤマタ印ボルドー液用粉末生石灰','田源石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1962/7/23'
5329,'クロルピクリンくん蒸剤','ドジョウピクリン','日本化薬株式会社','クロルピクリン','クロルピクリン','80.0%',1,'殺虫剤','くん蒸剤','1962/9/14'
5536,'展着剤','シンダイン','住友化学株式会社','ポリオキシエチレンノニルフェニルエーテル',NULL,'10.0%',1,'その他','その他','1963/1/23'
5536,'展着剤','シンダイン','住友化学株式会社','リグニンスルホン酸カルシウム',NULL,'10.0%',1,'その他','その他','1963/1/23'
5621,'PAP粉剤','日産エルサン粉剤2','日産化学株式会社','PAP','PAP','2.0%',1,'殺虫剤','粉剤','1963/2/26'
5623,'PAP乳剤','日産エルサン乳剤','日産化学株式会社','PAP','PAP','50.0%',1,'殺虫剤','乳剤','1963/2/26'
5655,'ストレプトマイシン水和剤','アグレプト水和剤','三井化学クロップ&ライフソリューション株式会社','ストレプトマイシン硫酸塩','ストレプトマイシン','25.0%',1,'殺菌剤','水和剤','1963/3/15'
5683,'生石灰','マルキチ印ボルドー液用粉末生石灰','有限会社井上満吉商店','生石灰','生石灰','95.0%',1,'その他','その他','1963/3/15'
5818,'プロメトリン水和剤','ゲザガード50','日本化薬株式会社','プロメトリン','プロメトリン','50.0%',1,'除草剤','水和剤','1963/6/22'
5823,'クマリン系粒剤','固形ラテミン','大塚薬品工業株式会社','クマリン系','クマリン系','0.03%',1,'殺そ剤','粒剤','1963/6/14'
5883,'石灰窒素','クニ印石灰窒素50','日本カーバイド工業株式会社','石灰窒素','石灰窒素','50.0%',1,'その他','その他','1963/11/1'
5884,'石灰窒素','軍配印石灰窒素50','デンカ株式会社','石灰窒素','石灰窒素','50.0%',1,'その他','その他','1963/11/1'
5905,'生石灰','ヤマニ印ボルドー液用生石灰','新中石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1963/12/16'
6004,'ジベレリン水溶剤','ジベレリン明治','三井化学クロップ&ライフソリューション株式会社','ジベレリン','ジベレリン','3.1%',1,'植物成長調整剤','水溶剤','1964/2/28'
6071,'1-ナフチルアセトアミド塗布剤','ルートン','石原産業株式会社','1-ナフチルアセトアミド','1-ナフチルアセトアミド','0.40%',1,'植物成長調整剤','塗布剤','1964/4/2'
6072,'4-CPA液剤','石原トマトトーン','石原産業株式会社','4-CPA','4-CPA','0.15%',1,'植物成長調整剤','液剤','1964/4/2'
6272,'カーバム剤','NCS','コルテバ・アグリサイエンス日本株式会社','カーバム','カーバム','50.0%',1,'殺虫剤','その他','1964/5/27'
6329,'テトラジホン水和剤','テデオン水和剤','アグロ カネショウ株式会社','テトラジホン','テトラジホン','18.0%',1,'殺虫剤','水和剤','1964/6/13'
6578,'硫黄粉剤','細井硫黄粉剤80','細井化学工業株式会社','硫黄','硫黄','80.0%',1,'殺菌剤','粉剤','1964/12/4'
6603,'リン化亜鉛粒剤','メリーネコりん化亜鉛','大丸合成薬品株式会社','リン化亜鉛','リン化亜鉛','1.0%',1,'殺そ剤','粒剤','1964/12/14'
6727,'クマリン系粉末','メリーネコクマリン','大丸合成薬品株式会社','クマリン系','クマリン系','1.0%',1,'殺そ剤','粉末','1965/2/23'
6746,'DBN粒剤','カソロン粒剤','アグロ カネショウ株式会社','DBN','DBN','2.5%',1,'除草剤','粒剤','1965/2/27'
6829,'マラソン・MEP乳剤','スミソン乳剤','サンケイ化学株式会社','マラソン','マラソン','15.0%',2,'殺虫剤','乳剤','1965/4/13'
6829,'マラソン・MEP乳剤','スミソン乳剤','サンケイ化学株式会社','MEP','MEP','35.0%',2,'殺虫剤','乳剤','1965/4/13'
6831,'PAP乳剤','ホクコーエルサン乳剤','北興化学工業株式会社','PAP','PAP','50.0%',1,'殺虫剤','乳剤','1965/4/13'
6909,'クロルピクリン燻蒸剤','クロピク80','南海化学株式会社','クロルピクリン','クロルピクリン','80.0%',1,'殺虫剤','くん蒸剤','1965/5/10'
7019,'展着剤','サーファクタントWK','花王株式会社','ポリオキシエチレンドデシルエーテル',NULL,'78.0%',1,'その他','その他','1965/6/7'
7184,'リン化アルミニウムくん蒸剤','ホストキシン小型錠剤','デゲシュ・ジャパン株式会社','リン化アルミニウム','リン化アルミニウム','56.0%',1,'殺虫剤','くん蒸剤','1965/10/8'
7185,'リン化アルミニウムくん蒸剤','ホストキシン','デゲシュ・ジャパン株式会社','リン化アルミニウム','リン化アルミニウム','56.0%',1,'殺虫剤','くん蒸剤','1965/10/8'
7233,'生石灰','アトミロン印農薬用(ボルドー液用)粉末生石灰','土佐石灰株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1965/12/21'
7278,'展着剤','クサリノー','日本農薬株式会社','ポリオキシエチレンオクチルフェニルエーテル',NULL,'50.0%',1,'その他','その他','1966/1/17'
7279,'青酸くん蒸剤','チバクロン','日宝化学株式会社','青酸','青酸','98.0%',1,'殺虫剤','くん蒸剤','1966/1/17'
7288,'ダイアジノン粒剤','ダイアジノン粒剤3','日本化薬株式会社','ダイアジノン','ダイアジノン','3.0%',1,'殺虫剤','粒剤','1966/1/17'
7290,'カスガマイシン液剤','ホクコーカスミン液剤','北興化学工業株式会社','カスガマイシン','カスガマイシン','2.3%',1,'殺菌剤','液剤','1966/1/17'
7327,'トリフルラリン乳剤','トレファノサイド乳剤','日産化学株式会社','トリフルラリン','トリフルラリン','44.5%',1,'除草剤','乳剤','1966/2/26'
7381,'銅水和剤','ドイツボルドーA','北興化学工業株式会社','塩基性塩化銅','銅','84.1%',1,'殺菌剤','水和剤','1966/3/8'
7449,'塩素酸塩粒剤','クサトールFP粒剤','保土谷アグロテック株式会社','塩素酸ナトリウム','塩素酸塩','50.0%',1,'除草剤','粒剤','1966/4/19'
7684,'MCPAナトリウム塩液剤','日産MCPソーダ塩','日産化学株式会社','MCPAナトリウム塩','MCPA','19.5%',1,'除草剤','液剤','1966/7/19'
